collection_priority,batch_id,gap_type,county,local_area,region_label,gics_sector,missing_fields,gics_industry_group,company_count,director_50_plus_count,director_55_plus_count,director_60_plus_count,director_65_plus_count,director_70_plus_count,source_note,source_url,source_date,approved_by,cro_address_count_url,cro_address_search_url,director_age_required,acceptance_rule,recommended_source,next_action
91,dublin-company-091,missing_row,Dublin,Dun Laoghaire / South County,Dublin / Dun Laoghaire / South County,Health Care,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Dun+Laoghaire%2C+Dublin&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Dun+Laoghaire%2C+Dublin&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
92,dublin-company-092,missing_row,Dublin,Dun Laoghaire / South County,Dublin / Dun Laoghaire / South County,Information Technology,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Dun+Laoghaire%2C+Dublin&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Dun+Laoghaire%2C+Dublin&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
93,dublin-company-093,missing_row,Dublin,Dun Laoghaire / South County,Dublin / Dun Laoghaire / South County,Financials,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Dun+Laoghaire%2C+Dublin&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Dun+Laoghaire%2C+Dublin&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
94,galway-company-094,incomplete_row,Galway,Galway City,Galway / Galway City,Industrials,director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count,Commercial & Professional Services,25,,,,,,"CRO Company Records open-data daily snapshot; company counts only, no director-age bands.",https://opendata.cro.ie/dataset/companies,2026-06-25,Benjamin Falkenburg,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Galway+City&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Galway+City&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
95,galway-company-095,incomplete_row,Galway,Salthill,Galway / Salthill,Industrials,director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count,Commercial & Professional Services,3,,,,,,"CRO Company Records open-data daily snapshot; company counts only, no director-age bands.",https://opendata.cro.ie/dataset/companies,2026-06-25,Benjamin Falkenburg,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Salthill%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Salthill%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
96,galway-company-096,incomplete_row,Galway,Oranmore,Galway / Oranmore,Industrials,director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count,Commercial & Professional Services,7,,,,,,"CRO Company Records open-data daily snapshot; company counts only, no director-age bands.",https://opendata.cro.ie/dataset/companies,2026-06-25,Benjamin Falkenburg,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Oranmore%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Oranmore%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
97,galway-company-097,incomplete_row,Galway,Tuam,Galway / Tuam,Industrials,director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count,Commercial & Professional Services,6,,,,,,"CRO Company Records open-data daily snapshot; company counts only, no director-age bands.",https://opendata.cro.ie/dataset/companies,2026-06-25,Benjamin Falkenburg,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Tuam%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Tuam%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
98,galway-company-098,incomplete_row,Galway,Loughrea,Galway / Loughrea,Industrials,director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count,Commercial & Professional Services,1,,,,,,"CRO Company Records open-data daily snapshot; company counts only, no director-age bands.",https://opendata.cro.ie/dataset/companies,2026-06-25,Benjamin Falkenburg,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Loughrea%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Loughrea%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
99,galway-company-099,incomplete_row,Galway,Gort,Galway / Gort,Industrials,director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count,Commercial & Professional Services,1,,,,,,"CRO Company Records open-data daily snapshot; company counts only, no director-age bands.",https://opendata.cro.ie/dataset/companies,2026-06-25,Benjamin Falkenburg,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Gort%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Gort%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
100,dublin-company-100,incomplete_row,Dublin,Dublin City Centre,Dublin / Dublin City Centre,Industrials,director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count,Commercial & Professional Services,158,,,,,,"CRO Company Records open-data daily snapshot; company counts only, no director-age bands.",https://opendata.cro.ie/dataset/companies,2026-06-25,Benjamin Falkenburg,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Dublin+City+Centre&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Dublin+City+Centre&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
