collection_priority,batch_id,gap_type,county,local_area,region_label,gics_sector,missing_fields,gics_industry_group,company_count,director_50_plus_count,director_55_plus_count,director_60_plus_count,director_65_plus_count,director_70_plus_count,source_note,source_url,source_date,approved_by,cro_address_count_url,cro_address_search_url,director_age_required,acceptance_rule,recommended_source,next_action
11,galway-company-011,missing_row,Galway,Oranmore,Galway / Oranmore,Consumer Discretionary,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Oranmore%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Oranmore%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
12,galway-company-012,missing_row,Galway,Oranmore,Galway / Oranmore,Consumer Staples,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Oranmore%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Oranmore%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
13,galway-company-013,missing_row,Galway,Oranmore,Galway / Oranmore,Health Care,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Oranmore%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Oranmore%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
14,galway-company-014,missing_row,Galway,Oranmore,Galway / Oranmore,Information Technology,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Oranmore%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Oranmore%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
15,galway-company-015,missing_row,Galway,Oranmore,Galway / Oranmore,Financials,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Oranmore%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Oranmore%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
16,galway-company-016,missing_row,Galway,Athenry,Galway / Athenry,Industrials,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Athenry%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Athenry%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
17,galway-company-017,missing_row,Galway,Athenry,Galway / Athenry,Consumer Discretionary,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Athenry%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Athenry%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
18,galway-company-018,missing_row,Galway,Athenry,Galway / Athenry,Consumer Staples,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Athenry%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Athenry%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
19,galway-company-019,missing_row,Galway,Athenry,Galway / Athenry,Health Care,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Athenry%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Athenry%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
20,galway-company-020,missing_row,Galway,Athenry,Galway / Athenry,Information Technology,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Athenry%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Athenry%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
